
BoxSetEpisodeTitle                                                    BoxSetEpisodeMediaUrl
------------------                                                    ---------------------
Thursday 3rd January Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20190103200951.m4a?awCollectionId=superscoreboard&awEpisodeId=13680?awCollectionId=13&awEpisodeId=222386
Monday 31st December Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181231210133.m4a?awCollectionId=superscoreboard&awEpisodeId=13651?awCollectionId=13&awEpisodeId=222387
Saturday 29th December Superscoreboard                                https://aod.planetradio.co.uk/superscoreboard/20181229181048.m4a?awCollectionId=superscoreboard&awEpisodeId=13646?awCollectionId=13&awEpisodeId=222388
Friday 28th December Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181228201251.m4a?awCollectionId=superscoreboard&awEpisodeId=13644?awCollectionId=13&awEpisodeId=222389
Thursday 27th December Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181227204808.m4a?awCollectionId=superscoreboard&awEpisodeId=13636?awCollectionId=13&awEpisodeId=222390
Wednesday 26th December Clyde 1 Superscoreboard Openline              https://aod.planetradio.co.uk/superscoreboard/20181226180414.m4a?awCollectionId=superscoreboard&awEpisodeId=13631?awCollectionId=13&awEpisodeId=222391
Monday 24th December Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181224202322.m4a?awCollectionId=superscoreboard&awEpisodeId=13629?awCollectionId=13&awEpisodeId=222392
Saturday 22nd December Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181222182058.m4a?awCollectionId=superscoreboard&awEpisodeId=13619?awCollectionId=13&awEpisodeId=222393
Friday 21st Clyde 1 Superscoreboard                                   https://aod.planetradio.co.uk/superscoreboard/20181221202030.m4a?awCollectionId=superscoreboard&awEpisodeId=13616?awCollectionId=13&awEpisodeId=222394
Thursday 20th December Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181220203814.m4a?awCollectionId=superscoreboard&awEpisodeId=13578?awCollectionId=13&awEpisodeId=222395
Wednesday 19th December Clyde 1 Superscoreboard                       https://aod.planetradio.co.uk/superscoreboard/20181220163338.m4a?awCollectionId=superscoreboard&awEpisodeId=13575?awCollectionId=13&awEpisodeId=222396
Tuesday 18th December Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181218212447.m4a?awCollectionId=superscoreboard&awEpisodeId=13476?awCollectionId=13&awEpisodeId=222397
Monday 17th December Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181217202513.m4a?awCollectionId=superscoreboard&awEpisodeId=13454?awCollectionId=13&awEpisodeId=222398
Sunday 16th December Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181216182232.m4a?awCollectionId=superscoreboard&awEpisodeId=13421?awCollectionId=13&awEpisodeId=222399
Saturday 15th December Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181216121921.m4a?awCollectionId=superscoreboard&awEpisodeId=13419?awCollectionId=13&awEpisodeId=222400
Friday 14th December Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181214202353.m4a?awCollectionId=superscoreboard&awEpisodeId=13416?awCollectionId=13&awEpisodeId=222401
Thursday 13th December Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20181213203958.m4a?awCollectionId=superscoreboard&awEpisodeId=13381?awCollectionId=13&awEpisodeId=222402
Wednesday the 12th December Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181212202325.m4a?awCollectionId=superscoreboard&awEpisodeId=13353?awCollectionId=13&awEpisodeId=222403
Tuesday 11th December Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181211203048.m4a?awCollectionId=superscoreboard&awEpisodeId=13322?awCollectionId=13&awEpisodeId=222404
Monday 10th December Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20181210201228.m4a?awCollectionId=superscoreboard&awEpisodeId=13300?awCollectionId=13&awEpisodeId=222405
Saturday 8th December Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20181208182516.m4a?awCollectionId=superscoreboard&awEpisodeId=13265?awCollectionId=13&awEpisodeId=222406
Friday 7th December Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181207200744.m4a?awCollectionId=superscoreboard&awEpisodeId=13263?awCollectionId=13&awEpisodeId=222407
